,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
607,The Addams Family,"$30,000,000","$200,185,807","$97,185,807","$103,000,000",1991,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,"Comedy, Fantasy",Paramount Pictures,PG-13,6.9
608,The Addams Family,"$24,000,000","$200,185,807","$97,185,807","$103,000,000",1991,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,"Comedy, Fantasy",Paramount Pictures,PG-13,6.9
609,Rocketman,"$41,000,000","$195,179,299","$96,368,160","$98,811,139",2019,Nominated for 1 Oscar. Another 20 wins & 59 nominations.,"Biography, Drama, Music, Musical",Rocket Pictures,R,7.4
610,Gemini Man,"$140,000,000","$173,469,516","$48,546,770","$124,922,746",2019,1 win & 4 nominations.,"Action, Drama, Sci-Fi, Thriller",Paramount Pictures,PG-13,5.7
611,Hustlers,"$20,700,000","$157,563,598","$104,963,598","$52,600,000",2019,Nominated for 1 Golden Globe. Another 18 wins & 63 nominations.,"Comedy, Crime, Drama, Thriller",STXfilms,R,6.4
612,The Angry Birds Movie 2,"$65,000,000","$154,678,115","$41,667,116","$113,010,999",2019,2 nominations.,"Animation, Adventure, Comedy, Family",Columbia Pictures,PG,6.4
613,Ad Astra,"$80,000,000","$132,807,427","$50,188,370","$82,619,057",2019,Nominated for 1 Oscar. Another 7 wins & 48 nominations.,"Adventure, Drama, Mystery, Sci-Fi, Thriller",20th Century Fox,PG-13,6.6
614,Zombieland: Double Tap,"$48,000,000","$122,810,399","$73,123,082","$49,687,317",2019,2 nominations.,"Action, Comedy, Horror",Columbia Pictures,R,6.8
615,Dora and the Lost City of Gold,"$49,000,000","$120,624,994","$60,477,943","$60,147,051",2019,1 nomination.,"Adventure, Family",Paramount Pictures,PG,6.0
616,Pet Sematary,"$21,000,000","$113,118,226","$54,724,696","$58,393,530",1989,1 win & 5 nominations.,"Horror, Thriller",Paramount Home Video,R,6.6
617,Pet Sematary,"$11,500,000","$113,118,226","$54,724,696","$58,393,530",1989,1 win & 5 nominations.,"Horror, Thriller",Paramount Home Video,R,6.6
618,Good Boys,"$20,000,000","$110,940,306","$83,140,306","$27,800,000",2019,4 nominations.,"Adventure, Comedy",Universal Pictures,R,6.7
619,Scary Stories to Tell in the Dark,"$28,000,000","$105,647,580","$68,947,075","$36,700,505",2019,1 win & 2 nominations.,"Horror, Mystery, Thriller",CBS Films and Lionsgate,PG-13,6.2
620,The Hustle,"$21,000,000","$95,017,038","$35,417,038","$59,600,000",2019,2 wins & 2 nominations.,"Comedy, Crime",MGM,PG-13,5.4
621,Crawl,"$17,000,000","$91,542,097","$39,014,193","$52,527,904",2019,2 nominations.,"Action, Drama, Horror, Thriller",Paramount Pictures,R,6.2
622,Five Feet Apart,"$7,000,000","$91,522,094","$45,729,221","$45,792,873",2019,1 win & 7 nominations.,"Drama, Romance",CBS Films,PG-13,7.2
623,Jojo Rabbit,"$14,000,000","$82,668,937","$32,394,604","$50,274,333",2019,Won 1 Oscar. Another 30 wins & 142 nominations.,"Comedy, Drama, War",Fox Searchlight Pictures,PG-13,8.0
624,Cold Pursuit,"$60,000,000","$76,419,755","$32,138,862","$44,280,893",2019,2 nominations.,"Action, Crime, Drama, Thriller",Summit Entertainment,R,6.2
625,Doctor Sleep,"$45,000,000","$72,281,712","$31,581,712","$40,700,000",2019,6 wins & 18 nominations.,"Drama, Fantasy, Horror, Thriller",Warner Bros. Pictures,R,7.5
626,Charlie's Angels,"$90,000,000","$70,994,355","$17,803,077","$53,191,278",2000,15 wins & 30 nominations.,"Action, Adventure, Comedy, Crime, Thriller",Columbia Pictures,PG-13,5.5
627,After,"$650,000","$69,733,482","$12,138,565","$57,594,917",2019,4 wins.,"Drama, Romance",Aviron Pictures,PG-13,5.4
628,A Beautiful Day in the Neighborhood,"$45,000,000","$66,741,848","$61,553,273","$5,188,575",2019,Nominated for 1 Oscar. Another 3 wins & 57 nominations.,"Biography, Drama",Sony Pictures,PG,7.4
629,Happy Death Day 2U,"$9,000,000","$64,600,152","$28,148,130","$36,452,022",2019,3 nominations.,"Comedy, Horror, Mystery, Sci-Fi, Thriller",Universal Pictures,PG-13,6.2
630,Little Miss Sunshine,"$8,000,000","$48,987,096","$40,860,481","$8,126,615",2006,Won 2 Oscars. Another 70 wins & 111 nominations.,"Comedy, Drama",Fox Searchlight,R,7.8
631,Little Miss Sunshine,"$8,000,000","$12,147,170","$104,578","$12,042,592",2006,Won 2 Oscars. Another 70 wins & 111 nominations.,"Comedy, Drama",Fox Searchlight,R,7.8
632,Child's Play,"$9,000,000","$44,902,237","$29,208,403","$15,693,834",1988,2 wins & 3 nominations.,"Horror, Thriller",United Artists,R,6.6
633,Hellboy,"$60,000,000","$44,664,690","$21,903,748","$22,760,942",2004,3 wins & 23 nominations.,"Action, Fantasy, Horror, Sci-Fi",Sony Pictures,PG-13,6.8
634,Hellboy,"$50,000,000","$44,664,690","$21,903,748","$22,760,942",2004,3 wins & 23 nominations.,"Action, Fantasy, Horror, Sci-Fi",Sony Pictures,PG-13,6.8
635,Harriet,"$17,000,000","$43,282,155","$43,082,155","$200,000",2019,Nominated for 2 Oscars. Another 18 wins & 32 nominations.,"Action, Biography, Drama, History",Focus Features,PG-13,6.3
636,Overcomer,"$5,000,000","$38,026,103","$34,746,945","$3,279,158",2019,4 nominations.,"Drama, Sport",Affirm Films,PG,6.5
637,UglyDolls,"$45,000,000","$32,450,241","$20,150,241","$12,300,000",2019,1 nomination.,"Animation, Adventure, Comedy, Family, Fantasy, Musical",STXfilms,PG,4.9
638,The Kid Who Would Be King,"$59,000,000","$32,140,970","$16,790,790","$15,350,180",2019,1 win.,"Action, Adventure, Family, Fantasy",20th Century Fox,PG,6.0
639,Anna,"$30,000,000","$31,329,947","$7,743,794","$23,586,153",2019,1 nomination.,"Action, Thriller",Summit Entertainment,R,6.6
640,Anna,"$4,357,373","$31,329,947","$7,743,794","$23,586,153",2019,1 nomination.,"Action, Thriller",Summit Entertainment,R,6.6
641,Late Night,"$4,000,000","$22,386,555","$15,499,454","$6,887,101",2019,Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,"Comedy, Drama",Amazon Studios,R,6.5
642,The Farewell,"$3,000,000","$22,110,994","$17,695,781","$4,415,213",2019,Won 1 Golden Globe. Another 25 wins & 126 nominations.,"Comedy, Drama",A24,PG,7.7
643,Shaft,"$53,012,938","$21,360,215","$21,360,215",-,2000,1 win & 13 nominations.,"Action, Crime, Thriller",Paramount Pictures,R,5.9
644,Shaft,"$30,000,000","$21,360,215","$21,360,215",-,2000,1 win & 13 nominations.,"Action, Crime, Thriller",Paramount Pictures,R,5.9
645,Hotel Mumbai,"$17,300,000","$21,314,816","$9,651,611","$11,663,205",2018,7 wins & 18 nominations.,"Drama, History, Thriller",Bleecker Street,R,7.6
646,Unplanned,"$6,000,000","$21,051,915","$19,005,109","$2,046,806",2019,6 wins & 3 nominations.,"Biography, Drama",Pure Flix,R,5.8
647,Black Christmas,"$9,000,000","$18,529,730","$10,429,730","$8,100,000",1974,2 wins & 2 nominations.,"Horror, Mystery, Thriller",Warner Bros. Pictures,R,7.2
648,Black Christmas,"$5,000,000","$18,529,730","$10,429,730","$8,100,000",1974,2 wins & 2 nominations.,"Horror, Mystery, Thriller",Warner Bros. Pictures,R,7.2
649,Motherless Brooklyn,"$26,000,000","$18,377,736","$9,277,736","$9,100,000",2019,Nominated for 1 Golden Globe. Another 2 wins & 11 nominations.,"Crime, Drama, Mystery",Warner Bros. Pictures,R,6.9
650,Blinded by the Light,"$15,000,000","$18,019,198","$11,901,145","$6,118,053",2019,2 wins & 6 nominations.,"Comedy, Drama, Music",New Line Cinema,PG-13,6.9
651,Miss Bala,"$15,000,000","$15,383,580","$15,006,824","$376,756",2011,3 wins & 9 nominations.,"Action, Crime, Drama, Thriller",Fox International,R,6.5
652,Serenity,"$39,000,000","$14,454,622","$8,547,045","$5,907,577",2005,9 wins & 9 nominations.,"Action, Adventure, Sci-Fi, Thriller",Universal Pictures,PG-13,7.8
653,Serenity,"$25,000,000","$14,454,622","$8,547,045","$5,907,577",2005,9 wins & 9 nominations.,"Action, Adventure, Sci-Fi, Thriller",Universal Pictures,PG-13,7.8
654,The Best of Enemies,"$10,000,000","$10,209,813","$10,205,616","$4,197",2019,1 nomination.,"Biography, Drama, History",STXfilms,PG-13,7.0
655,Captive State,"$25,000,000","$8,772,812","$5,958,315","$2,814,497",2019,2 nominations.,"Drama, Horror, Sci-Fi, Thriller",Focus Features,PG-13,6.0
656,The Last Black Man in San Francisco,"$3,000,000","$4,607,017","$4,515,719","$91,298",2019,10 wins & 37 nominations.,Drama,A24,R,7.4
657,Honey Boy,"$3,500,000","$3,203,244","$3,012,615","$190,629",2019,8 wins & 32 nominations.,Drama,Amazon Studios,R,7.4
658,The Aeronauts,"$80,000,000","$2,907,225",-,"$2,907,225",2019,5 nominations.,"Action, Adventure, Biography, Drama, Romance",Amazon Studios,PG-13,6.6
659,The Kid,"$65,000,000","$1,553,483","$1,508,593","$44,890",1921,2 wins.,"Comedy, Drama, Family",First National Pictures Inc.,Not Rated,8.3
660,Diane,"$2,660,000","$336,166","$336,166",-,2018,7 wins & 15 nominations.,Drama,IFC Films,Not Rated,6.7
661,Woodstock,"$600,000","$320,610","$126,562","$194,048",1970,Won 1 Oscar. Another 1 win & 2 nominations.,"Documentary, History, Music",WARNER BROTHERS PICTURES,R,8.2
662,Woodstock,"$600,000","$84,440","$84,440",-,1970,Won 1 Oscar. Another 1 win & 2 nominations.,"Documentary, History, Music",WARNER BROTHERS PICTURES,R,8.2
663,War and Peace,"$6,000,000","$148,503","$148,503",-,1956,Nominated for 3 Oscars. Another 5 wins & 10 nominations.,"Drama, Romance, War",Paramount Pictures,PG,6.8
664,Driven,"$72,000,000","$147,172",-,"$147,172",2001,1 win & 10 nominations.,"Action, Drama, Sport",Warner Bros. Pictures,PG-13,4.6
665,Tremors,"$10,000,000","$121,757","$23,855","$97,902",1990,5 nominations.,"Comedy, Horror",MCA/Universal Pictures,PG-13,7.1
666,The Queen,"$15,000,000","$47,818","$47,818",-,2006,Won 1 Oscar. Another 95 wins & 97 nominations.,"Biography, Drama, History",Miramax Films,PG-13,7.3
667,The Proposal,"$40,000,000","$45,149","$45,149",-,2009,Nominated for 1 Golden Globe. Another 7 wins & 19 nominations.,"Comedy, Drama, Romance",Walt Disney Pictures,PG-13,6.7
668,Batman,"$35,000,000","$28,793","$28,597",$196,1989,Won 1 Oscar. Another 8 wins & 26 nominations.,"Action, Adventure",Warner Bros. Pictures,PG-13,7.5
669,Quartet,"$11,000,000","$12,042","$12,042",-,2012,Nominated for 1 Golden Globe. Another 4 wins & 4 nominations.,"Comedy, Drama",The Weinstein Co.,PG-13,6.8
670,Serendipity,"$28,000,000","$2,298","$2,298",-,2001,3 nominations.,"Comedy, Romance",Miramax Films,PG-13,6.9
671,The Grudge,"$10,000,000","$46,770,420","$21,197,518","$25,572,902",2004,2 wins & 10 nominations.,"Horror, Mystery, Thriller",Sony Pictures Entertainment,PG-13,5.9
672,Emma,"$5,900,000","$3,280,000","$80,000","$3,200,000",1996,Won 1 Oscar. Another 2 wins & 7 nominations.,"Comedy, Drama, Romance",A&amp;E Television Networks,PG,6.6
