,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
357,Fifty Shades Darker,"$55,000,000","$381,545,846","$114,581,250","$266,964,596",2017,3 wins & 12 nominations.,"Drama, Romance",Universal Pictures,R,4.6
358,Murder on the Orient Express,"$55,000,000","$352,789,811","$102,826,543","$249,963,268",2017,1 win & 23 nominations.,"Crime, Drama, Mystery",20th Century Fox,PG-13,6.5
359,xXx: Return of Xander Cage,"$85,000,000","$346,118,277","$44,898,413","$301,219,864",2017,1 win & 6 nominations.,"Action, Adventure, Thriller",Paramount Pictures,PG-13,5.2
360,The Lego Batman Movie,"$80,000,000","$311,950,384","$175,750,384","$136,200,000",2017,12 wins & 67 nominations.,"Animation, Action, Comedy, Family",Warner Bros. Pictures,PG,7.3
361,Annabelle: Creation,"$15,000,000","$306,515,884","$102,092,201","$204,423,683",2017,1 win & 6 nominations.,"Horror, Mystery, Thriller",New Line Cinema,R,6.5
362,Wonder,"$20,000,000","$305,937,718","$132,422,809","$173,514,909",2017,Nominated for 1 Oscar. Another 4 wins & 26 nominations.,"Drama, Family",Lionsgate,PG,8.0
363,Ferdinand,"$111,000,000","$296,069,199","$84,410,380","$211,658,819",2017,Nominated for 1 Oscar. Another 2 wins & 19 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Blue Sky Studio/20th Century Fox,PG,6.7
364,Split,"$5,000,000","$278,454,358","$138,291,365","$140,162,993",2016,9 wins & 21 nominations.,"Horror, Thriller",Universal Pictures,PG-13,7.3
365,Blade Runner 2049,"$185,000,000","$259,239,658","$92,054,159","$167,185,499",2017,Won 2 Oscars. Another 97 wins & 156 nominations.,"Action, Drama, Mystery, Sci-Fi, Thriller",Warner Bros. Pictures,R,8.0
366,Get Out,"$5,000,000","$255,407,969","$176,040,665","$79,367,304",2017,Won 1 Oscar. Another 151 wins & 199 nominations.,"Horror, Mystery, Thriller",Universal Pictures,R,7.7
367,Baahubali 2: The Conclusion,"$30,000,000","$254,158,390","$20,186,659","$233,971,731",2017,27 wins & 15 nominations.,"Action, Drama",Arka Media Works,Not Rated,8.2
368,Alien: Covenant,"$97,000,000","$240,891,763","$74,262,031","$166,629,732",2017,2 wins & 13 nominations.,"Horror, Sci-Fi, Thriller",20th Century Fox,R,6.4
369,Baby Driver,"$34,000,000","$226,945,087","$107,825,862","$119,119,225",2017,Nominated for 3 Oscars. Another 41 wins & 59 nominations.,"Action, Crime, Drama, Music, Thriller",Sony Pictures,R,7.6
370,Valerian and the City of a Thousand Planets,"$180,000,000","$225,874,228","$41,189,488","$184,684,740",2017,10 nominations.,"Action, Adventure, Fantasy, Sci-Fi",EuropaCorp / STXfilms,PG-13,6.5
371,Geostorm,"$100,000,000","$221,600,160","$33,700,160","$187,900,000",2017,1 nomination.,"Action, Sci-Fi, Thriller",Warner Bros. Pictures,PG-13,5.3
372,The Emoji Movie,"$50,000,000","$217,776,646","$86,089,513","$131,687,133",2017,5 wins & 3 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Sony Pictures Animation,PG,3.2
373,Smurfs: The Lost Village,"$60,000,000","$197,183,546","$45,020,282","$152,163,264",2017,1 win & 4 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Sony Pictures,PG,6.0
374,The Shape of Water,"$19,500,000","$195,333,312","$63,859,435","$131,473,877",2017,Won 4 Oscars. Another 134 wins & 345 nominations.,"Adventure, Drama, Fantasy, Romance, Thriller",Fox Searchlight Pictures,R,7.3
375,Pitch Perfect 3,"$45,000,000","$185,400,345","$104,897,530","$80,502,815",2017,3 wins & 6 nominations.,"Comedy, Music",Universal Pictures,PG-13,5.8
376,The Post,"$50,000,000","$179,769,457","$81,903,458","$97,865,999",2017,Nominated for 2 Oscars. Another 18 wins & 111 nominations.,"Biography, Drama, History, Thriller",20th Century Fox,PG-13,7.2
377,Baywatch,"$60,000,000","$177,856,751","$58,060,186","$119,796,565",2017,3 wins & 11 nominations.,"Action, Comedy, Crime",Paramount Pictures,R,5.5
378,Ghost in the Shell,"$110,000,000","$169,801,921","$40,563,557","$129,238,364",2017,2 wins & 6 nominations.,"Action, Drama, Sci-Fi, Thriller",Paramount Pictures,PG-13,6.3
379,Darkest Hour,"$30,000,000","$150,847,207","$56,468,410","$94,378,797",2017,Won 2 Oscars. Another 50 wins & 76 nominations.,"Biography, Drama, History, War",Focus Features,PG-13,7.4
380,King Arthur: Legend of the Sword,"$175,000,000","$148,675,066","$39,175,066","$109,500,000",2017,9 nominations.,"Action, Adventure, Drama, Fantasy",Warner Bros. Pictures,PG-13,6.7
381,The Foreigner,"$35,000,000","$145,374,099","$34,393,507","$110,980,592",2017,1 nomination.,"Action, Thriller",STX Films,R,7.0
382,Power Rangers,"$120,000,000","$142,337,240","$85,364,450","$56,972,790",2017,6 nominations.,"Action, Adventure, Sci-Fi",Lionsgate Films,PG-13,5.9
383,Girls Trip,"$28,000,000","$140,552,359","$115,171,585","$25,380,774",2017,13 wins & 38 nominations.,"Adventure, Comedy, Drama",Universal Pictures,R,6.2
